 s_store_name |                                                                                               i_item_desc                                                                                               | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
 able         | Areas meet very sections; ministers sound urgently. Public, regulatory winners start much beautiful, trying considerations. Possible,                                                                   |    2.00 |            2.12 |             0.72 | importounivamalg #11                              
 able         | Arrangem                                                                                                                                                                                                |   10.95 |            7.07 |             6.29 | importoamalg #1                                   
 able         | As social clients ought to confirm only to a concerns. Increasing, black months know nearly with a dogs. Points pull again economic                                                                     |   16.44 |            1.67 |             0.80 | importoamalg #2                                   
 able         | Assets would take. Then great fingers develop en                                                                                                                                                        |    3.43 |            7.78 |             6.37 | corpmaxi #6                                       
 able         | Available, simple accounts might get also exotic minutes. Circumstances may balance surprising polls. Stories will think naturally both social months. Wrong, fair persons flee full lines;             |    0.47 |            2.91 |             1.45 | importoimporto #2                                 
 able         | Away patient threats will not abandon too. Now coming posts look gently essential events. New products get very with the forces. Part-ti                                                                |    2.05 |            4.75 |             2.85 | amalgbrand #6                                     
 able         | Banks shall not make there. Times keep never ultimately real children. Thanks should shoot more then public times. Boxes                                                                                |   12.37 |            3.81 |             1.67 | importoexporti #1                                 
 able         | Basic lectures can achieve. Separate purposes might help. N                                                                                                                                             |   13.22 |            7.20 |             4.53 | importoimporto #1                                 
 able         | Beings                                                                                                                                                                                                  |    4.68 |            5.41 |             1.62 | univnameless #5                                   
 able         | Boots recommend usually just local centres; c                                                                                                                                                           |    7.89 |            7.56 |             3.40 | exportimaxi #9                                    
 able         | Brothers would count other partners; private patients know. Never joint farmers c                                                                                                                       |   10.65 |            3.21 |             2.31 | maximaxi #9                                       
 able         | Burning instruments promote rarely attempts. Dry feet try british, entire changes. Chemicals find well important situations. Planes emerge clubs. Less extra others provide old, indus                  |    2.61 |            3.89 |             2.95 | exportiexporti #1                                 
 able         | Central, other hands will agree especially crucial differences                                                                                                                                          |   17.69 |            4.49 |             3.00 | exportischolar #2                                 
 able         | Certain, happy miles bet well scientific quantities; companies could find actually important players. Other firms mig                                                                                   |   18.38 |            2.18 |             0.91 | importoscholar #1                                 
 able         | Changes set even on a subsidies. Exactly severe soldiers must not prevent now then free h                                                                                                               |   11.55 |            7.85 |             5.33 | edu packunivamalg #11                             
 able         | Chemical dogs could not identify. Absolute                                                                                                                                                              |    4.52 |            2.40 |             1.68 | amalgscholar #1                                   
 able         | Clearly conservative children could not moderate with a decisions. As good as important track                                                                                                           |    4.01 |            7.66 |             3.21 | corpmaxi #9                                       
 able         | Clearly short talks disentangle especially with a systems. Frequently new sides could honour actually wrong personal attempts. Estimated needs ought to think highly                                    |   14.41 |            3.04 |             2.46 | maxinameless #9                                   
 able         | Colleges shall return interests. Late, outer stairs accept in spite of a standards. Estates pull almost from a issues. Hardly dead elements clear over there chinese hours; europea                     |   16.93 |            4.09 |             3.02 | importoamalgamalg #11                             
 able         | Conditions want well enormous, proper cells; claims ought to clear now to the times. As well divine surfaces know persistent, ha                                                                        |    9.84 |           74.70 |            47.06 | univmaxi #2                                       
 able         | Considerable, real colleagues change. Seriously american letters know high differently systematic lists. Promptly major studies worry. Emotional features look. Soon chinese pages arr                  |   13.49 |            6.48 |             2.13 | edu packunivamalg #5                              
 able         | Considerations can ask full, original cuts. Powerful, artistic members feel often ner                                                                                                                   |    9.59 |            0.76 |             0.31 | importoimporto #1                                 
 able         | Costs cannot marry totally on a members. At once good acts would carry different, old hands. True, new terms understand clearly on the workers. Privately detailed services                             |    5.88 |            0.63 |             0.28 | edu packedu pack #2                               
 able         | Criteria would not adjust a bit dominant cars. British weeks could not c                                                                                                                                |    0.00 |            4.31 |             1.50 | maxibrand #1                                      
 able         | Days make there great, firm voters. Friends listen now lively tenants; also italian views used to know                                                                                                  |   16.05 |            8.41 |             4.20 | exportibrand #9                                   
 able         | Days occur legitimate, premier restrictions. Certain eyes might decrease full forests; times oug                                                                                                        |    4.06 |            1.31 |             0.52 | brandunivamalg #14                                
 able         | Decisions get later overall, local women. Later direct results could seek finally large camps; other, main parts see lonely, central tho                                                                |    2.56 |            0.71 |             0.63 | exportischolar #1                                 
 able         | Deep parent                                                                                                                                                                                             |   10.56 |            1.30 |             0.52 | maximaxi #8                                       
 able         | Deep, interesting units play with a children. More democratic difficulties control however additional attitudes. Nearby, likely connecti                                                                |   17.18 |            3.48 |             2.05 | amalgexporti #2                                   
 able         | Detailed, creative kings will act also papers. Due shows find soon new, cool publishers. Days can print how                                                                                             |    4.47 |            8.31 |             2.74 | exportiimporto #1                                 
 able         | Details could argue; high sales should not                                                                                                                                                              |   15.81 |            3.55 |             2.48 | exportiunivamalg #5                               
 able         | Different months change questions. Serious countries appeal so black, labour women. Enough dangerous crimes can organise here right, local gi                                                           |   14.10 |            0.79 |             0.33 | exportiamalg #2                                   
 able         | Discussions should not show so subsequently young stairs. Reasons would raise probably major sorts. Final, united attempts turn out of a parts. Rather small                                            |    4.37 |            3.46 |             1.86 | amalgamalg #1                                     
 able         | Disputes may put just men; opinions could appear various books. Big metres fulfil high cases. Courts like now new races. Calmly possible t                                                              |   12.89 |            3.17 |             2.12 | importoedu pack #2                                
 able         | Documents ought to find similarly armies. Difficult women might not prevent too great e                                                                                                                 |   15.81 |            3.89 |             3.11 | corpbrand #7                                      
 able         | Dry houses drive. Popular cars cannot think well. Ltd. crops take just. Also public dogs could not use either free areas. So available magistrates might not mat                                        |   13.49 |            1.52 |             1.06 | amalgbrand #4                                     
 able         | Educational margins continue new, american eyes. As new police establish and so on therefore right children. Relu                                                                                       |    5.67 |            4.11 |             1.80 | importoscholar #1                                 
 able         | Educational, cool implications will not measure between the sales. Minutes find ago other, religious patients. Particularly direct numbers should keep various, prime forms; extreme, professio         |   13.03 |            7.73 |             3.16 | importoamalg #1                                   
 able         | English proposals like early by a symptoms. Operations make then in accordance with the kinds. Part-time, nuclear views feel very never legal schools. Pupils cann                                      |   16.74 |            0.77 |             0.39 | edu packbrand #7                                  
 able         | English, good democrats split for a states. Acceptable, likely eyes used to find anyway features. At least full taxes surprise for the sales.                                                           |    3.54 |            0.97 |             0.53 | exportiedu pack #2                                
 able         | Enough digital women may produce straight o                                                                                                                                                             |   18.43 |            4.59 |             1.65 | amalgscholar #1                                   
 able         | Equal grounds shal                                                                                                                                                                                      |   17.52 |            8.36 |             3.34 | exportiexporti #1                                 
 able         | European authors may belong apparently. Friends suit subsequently possible miles. Interesting organisations might send. Years put however angry, large stars; only healthy areas can send in a cen      |    2.18 |            4.63 |             3.61 | edu packamalg #1                                  
 able         | Even young stores extend largely. Wro                                                                                                                                                                   |   14.24 |            3.51 |             1.82 | amalgscholar #1                                   
 able         | Events could play instead silly, strong musicians. Regions shall not reduce however to a                                                                                                                |    0.43 |            6.15 |             4.30 | amalgnameless #5                                  
 able         | Eventually individual terms will collapse about also nea                                                                                                                                                |   11.82 |            3.64 |             1.38 | importoscholar #1                                 
 able         | Existing members make sometimes. Private ways ought to ki                                                                                                                                               |    1.65 |            0.75 |             0.38 | scholarunivamalg #5                               
 able         | Expensive reasons shall not carry hardly ri                                                                                                                                                             |    0.94 |            4.59 |             1.46 | scholarbrand #1                                   
 able         | Experiences go too relevant members. More large eyes get so ordinary shoulders. Still only manufacturers                                                                                                |   15.67 |           19.13 |            13.96 | importoscholar #2                                 
 able         | Extensive, special opportunities may turn reactions; largely civil brothers                                                                                                                             |   11.09 |            8.37 |             3.51 | exportiimporto #1                                 
 able         | Eyes could not                                                                                                                                                                                          |   17.47 |            4.34 |             1.64 | univunivamalg #9                                  
 able         | Eyes read clearly only good resources. Illustrations spend finally. Permanent, southern times would take economic da                                                                                    |   17.55 |            2.97 |             1.45 | univbrand #8                                      
 able         | Fair stations win again substantial                                                                                                                                                                     |    9.73 |            9.22 |             7.92 | amalgexporti #2                                   
 able         | Far, alive figures protect often entire quantities. Reasons run nights. Now follo                                                                                                                       |   15.65 |            1.57 |             1.36 | scholarcorp #2                                    
 able         | Favorite areas would play. Pages remain separate emotions. Positive, dramatic centres will linger now young                                                                                             |   18.80 |            9.29 |             4.27 | corpamalgamalg #9                                 
 able         | Final governm                                                                                                                                                                                           |    2.60 |            6.22 |             5.28 | exportimaxi #11                                   
 able         | Fine old programmes may not mean. Public pp. may not believe however thus continued lines. Physical agenc                                                                                               |    5.01 |            3.45 |             2.38 | univamalgamalg #2                                 
 able         | Fine, white men vary almost natural, running companies. Obviously lost colleagues stop alike. White, impor                                                                                              |   10.34 |            6.80 |             3.12 | exportiimporto #2                                 
 able         | For                                                                                                                                                                                                     |    3.94 |            0.31 |             0.19 | amalgamalg #1                                     
 able         | Free, british places used to review yet. Famous colleagues give early.                                                                                                                                  |    8.30 |            8.91 |             7.48 | amalgexporti #1                                   
 able         | Free, major examples may not tell so final keys. Quick terms should read. Reasons teach. S                                                                                                              |    9.92 |            4.39 |             3.95 | importoexporti #1                                 
 able         | Functional, boring circumstances s                                                                                                                                                                      |    1.43 |            1.67 |             1.45 | exportiedu pack #1                                
 able         | Fundamental posts simulate importa                                                                                                                                                                      |   17.33 |            7.66 |             3.52 | scholarnameless #3                                
 able         | Fundamentally joint committees should live all right; others                                                                                                                                            |    3.55 |            9.87 |             5.72 | edu packamalgamalg #6                             
 able         | Genetic days see in the months. New standards shall experiment general patients. Men ask in order far differences. Parts look more new, aware properties. Wrong, unk                                    |   12.99 |            1.90 |             1.59 | amalgedu pack #1                                  
 able         | Global, ugly flowers can pray just parti                                                                                                                                                                |   18.64 |            8.53 |             7.50 | namelessnameless #10                              
 able         | Good, old nerves might become recently objectives. However only offices find due. Long, great sentences complain absolutely probably simple hands.                                                      |   17.33 |           74.30 |            52.75 | importoamalgamalg #14                             
 able         | Gradual politicians may not go good, increased eyes. Only little signs tell in a hours. Red, important systems prevent badly characters; men provide so round companies. N                              |   13.86 |            0.11 |             0.05 | edu packscholar #1                                
 able         | Great applications cannot agree better possible classes. Then big implications plan so british, practical interviews. Hours used to get totally common, familiar camps. Then local m                    |   12.52 |            2.93 |             2.05 | importoscholar #2                                 
 able         | Great authorities can hear thus sheets. R                                                                                                                                                               |   11.54 |            2.74 |             1.83 | namelessmaxi #2                                   
 able         | Growing, civil practices may commit wrongly. Different, marine visitors would let.                                                                                                                      |    6.01 |            2.52 |             2.26 | maxinameless #1                                   
 able         | Hands might not take away in a police. Others could arrange even. New companies c                                                                                                                       |   14.39 |            5.95 |             5.11 | amalgamalg #1                                     
 able         | Happy experiments could see now odd fingers. Previous matters might                                                                                                                                     |    8.10 |            0.79 |             0.26 | importoamalg #1                                   
 able         | Harsh bottles should not consider dependent associations. Good seats can come most in a mice. Administrative, relevant damages risk so economic services. Briefly                                       |    9.28 |            5.17 |             3.51 | importoexporti #1                                 
 able         | Heavy rates could build. Economic, other group                                                                                                                                                          |   15.16 |            7.88 |             3.46 | importoexporti #1                                 
 able         | Here remote conditions could take so. Guilty magazines ought to consider now cl                                                                                                                         |   11.77 |            1.55 |             1.22 | importoscholar #1                                 
 able         | Highly inadequate circumstances come any longer indeed effectiv                                                                                                                                         |   14.69 |            4.13 |             1.40 | importoamalg #1                                   
 able         | Horses last results. There thorough parents sail everywhere into a gua                                                                                                                                  |   10.02 |            3.45 |             2.55 | scholarnameless #5                                
 able         | However underlying particles achieve eventually southern, recent resources. Maybe mediterranean roles could let. Like, remarkable banks shall control great miles. Diplomatic ways used to forget more  |   14.61 |            4.77 |             1.57 | amalgexporti #1                                   
 able         | Human, bad girls shall combine then such as the proposals. Sometimes enormous cus                                                                                                                       |    9.61 |           87.01 |            54.81 | univbrand #4                                      
 able         | Important islands could not say appointed wings. Little other emotions would not advise inside eligible times. Vast, basic stairs try here other, colourful ev                                          |   12.03 |            7.64 |             2.59 | amalgamalg #1                                     
 able         | Improvements must live                                                                                                                                                                                  |   13.88 |            2.66 |             2.39 | univbrand #5                                      
 able         | Independently soft players look very parts. Royal, poor groups beat often completely sure texts; national, used matches could deal only particular quantities. Pol                                      |   10.32 |           82.48 |            70.93 | edu packamalg #1                                  
 able         | Inevitable plants light in a appointments. Important, bold pictures mea                                                                                                                                 |   16.11 |           44.33 |            36.79 | corpnameless #4                                   
 able         | Initial, important ministers used to rely. Young, difficult glasses cannot say european, religious organisations; worried minutes protect action                                                        |   11.03 |            4.95 |             3.06 | scholarnameless #7                                
 able         | Interested, physical parts ought to behave furthermore. Primary rates convert just fellow, possib                                                                                                       |   14.66 |            3.05 |             1.18 | importoimporto #1                                 
 able         | Invisible, excitin                                                                                                                                                                                      |    3.84 |            9.35 |             4.76 | importoimporto #1                                 
(100 rows)

