                                                                                            i_item_desc                                                                                            |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
 Active plants need necessary, widespread roads. Best back visits hold regularly fresh friend                                                                                                      | Bad cards must make. |       5124 |        0 |     1 |         1
 Actively different proceedings light yet so similar houses. Good circumstances shall not take only levels. Then moral pounds will clean very only national organisations.                         | Important issues liv |       5125 |        0 |     1 |         1
 Activities say. Right lips resort current techniques. Regional, possible daughters might not present changes; students can notice ridiculous, l                                                   | Bad cards must make. |       5164 |        0 |     1 |         1
 Actual, different stories could suggest                                                                                                                                                           | Important issues liv |       5161 |        0 |     1 |         1
 Actually strong reports                                                                                                                                                                           | Conventional childr  |       5151 |        0 |     1 |         1
 Actually strong reports                                                                                                                                                                           | Important issues liv |       5163 |        0 |     1 |         1
 Additional responses will                                                                                                                                                                         | Conventional childr  |       5121 |        0 |     1 |         1
 Additional responses will                                                                                                                                                                         |                      |       5121 |        0 |     1 |         1
 Adults throw close recent women. Orange, guilty libraries let earnings. Initiatives ought to walk. Simple, successful states might work eventually full orders. Formerly very                     | Conventional childr  |       5119 |        0 |     1 |         1
 Again avail                                                                                                                                                                                       | Doors canno          |       5159 |        0 |     1 |         1
 Again available costs could try there. No longer wrong pupils prove inadvertently european, civil times. Words turn as biological fears. Either magnetic benefits produce clearly on              | Important issues liv |       5147 |        0 |     1 |         1
 Again sure relations will not amuse criminal, annual thousands. European, sorry minis                                                                                                             | Conventional childr  |       5156 |        0 |     1 |         1
 Again vital details must not think users; thus total cattle sound central, particular churches; gentle, local materials could appreciate warm, high manufacturers. Qualifications allo            | Conventional childr  |       5146 |        0 |     1 |         1
 Agencies will pick different authorities. Whole, academic moments will include again perhaps other profits. Months can lay in a effects. Feet must want gentle, central sections. Even visible he | Bad cards must make. |       5116 |        0 |     1 |         1
 Ages must not remain too various kinds; particular, responsible guns use in the rights. Small techniques contain really main, english wages. Firmly industr                                       | Important issues liv |       5159 |        0 |     1 |         1
 Aggressive, personal                                                                                                                                                                              |                      |       5134 |        0 |     1 |         1
 Ago high russians might regulate more than internal american women. Special students hear completely duties. Bizarre accounts will establish mostly for a models. Various strangers will license  | Doors canno          |       5160 |        0 |     1 |         1
 Ago low signs cannot account only successfully available solutions. Medical, overseas terms s                                                                                                     | Doors canno          |       5122 |        0 |     1 |         1
 Ago low signs cannot account only successfully available solutions. Medical, overseas terms s                                                                                                     | Important issues liv |       5163 |        0 |     1 |         1
 Ago spanish members would give young, suspicious stars. Executives join for example details. Americans used to convince. Stones should deli                                                       | Doors canno          |       5144 |        0 |     1 |         1
 All right deliberate difficulties wait still between a seats; final, actual jobs may mee                                                                                                          | Doors canno          |       5142 |        0 |     1 |         1
 Almost comprehensive cases know unfortunately hard courses; there determined rules shall make even hard, close years. Existing, red sentences name. Experts help slowly players.                  | Bad cards must make. |       5152 |        0 |     1 |         1
 Almost major songs afford big characters. International                                                                                                                                           | Bad cards must make. |       5124 |        0 |     1 |         1
 Alone walls mus                                                                                                                                                                                   | Bad cards must make. |       5117 |        0 |     1 |         1
 Already corporate tests will give trees. Relationships understand peacefully at the plans. Schools could afford away on a languages. Able, pure years may defend over a hands. More valid         | Doors canno          |       5158 |        0 |     1 |         1
 Already necessary buildings will not                                                                                                                                                              | Conventional childr  |       5166 |        0 |     1 |         1
 Already unexpected relations must investigate sooner new fair                                                                                                                                     | Important issues liv |       5158 |        0 |     1 |         1
 Also different others might take great, only problems. Then i                                                                                                                                     | Doors canno          |       5117 |        0 |     1 |         1
 Also different others might take great, only problems. Then i                                                                                                                                     | Important issues liv |       5117 |        0 |     1 |         1
 Also particular days sense photographs. There obvious consequences should not meet suddenly also healthy effects. Long important interests c                                                      | Important issues liv |       5143 |        0 |     1 |         1
 Also political flowers confirm now then close companies. Just past arguments should produce additional, outer ingredients. Tories should see. Goods                                               | Important issues liv |       5153 |        0 |     1 |         1
 Alternative, desperate rules might talk only. Cases get recently. Smooth, public departments mean only c                                                                                          | Important issues liv |       5131 |        0 |     1 |         1
 Always immediate pilots say just young, alive women. Japanese, female words discover early patients. Wonderfu                                                                                     |                      |       5152 |        0 |     1 |         1
 Always pregnant victims would not grow financial, italian eyes; slight, particular minutes respond here in a camps. Perhaps serious opportunities make now except                                 |                      |       5132 |        0 |     1 |         1
 Always similar signs ask. Social, real knees ought to live apparently women. Also similar hands may think private governments. Fr                                                                 | Conventional childr  |       5148 |        0 |     1 |         1
 Animals conduct primary, sorry tickets. Bare, labour matters used to buy between a patterns. Light authorities explain rules; future eggs can                                                     | Conventional childr  |       5159 |        0 |     1 |         1
 Anywhere high resources sha                                                                                                                                                                       | Bad cards must make. |       5129 |        0 |     1 |         1
 Apart victorian clients might                                                                                                                                                                     | Conventional childr  |       5143 |        0 |     1 |         1
 Approx electrical events could not want exciting relations; years can seem afte                                                                                                                   |                      |       5133 |        0 |     1 |         1
 Approx residential memories enforce there in a parts. Neutral children supply already great, gastri                                                                                               | Doors canno          |       5131 |        0 |     1 |         1
 Areas shall not see. Also new records should see. Young pairs share adequate, gentle vehic                                                                                                        | Doors canno          |       5151 |        0 |     1 |         1
 Arms will pay scottish, wrong users. Already accurate factors would take over abl                                                                                                                 | Doors canno          |       5163 |        0 |     1 |         1
 Arrangem                                                                                                                                                                                          | Conventional childr  |       5139 |        0 |     1 |         1
 Arrangements bet now just spiritual councils. Hard kids unravel still. Decisions supplement also only, original ideas; back, other difficulties stop international busines                        | Important issues liv |       5127 |        0 |     1 |         1
 Artists solve never good thanks. Completely medieval homes enhance real goods. Other fears cannot make earlier; packages describe despite a companies; other numbers work similar roles.          | Important issues liv |       5116 |        0 |     1 |         1
 As previous bodies would maintain too in a images. Suddenly determined implications shall deal western members. Fundamental pages sit with the americans. Exceptio                                | Important issues liv |       5166 |        0 |     1 |         1
 Asleep rights continue over papers. Yesterday poor combinations ought to like votes. Hardly similar manufacturers used to see groups. Rel                                                         | Conventional childr  |       5162 |        0 |     1 |         1
 At least visual pounds could succeed ago just normal eyes. Convincing hospitals may not enjoy about for the                                                                                       | Important issues liv |       5157 |        0 |     1 |         1
 Attitudes could represent however tears; centres mix over morally slow ways. Model months compare then there single environments. Variables cannot find gentl                                     | Important issues liv |       5146 |        0 |     1 |         1
 Attitudes could represent however tears; centres mix over morally slow ways. Model months compare then there single environments. Variables cannot find gentl                                     |                      |       5146 |        0 |     1 |         1
 Attractive organizations will turn other, effective patients. Social, christian mo                                                                                                                | Doors canno          |       5153 |        0 |     1 |         1
 Automatic, fine seconds stop possible, liberal plans; brilliant processes cannot cost studies. Theories can belong well n                                                                         | Bad cards must make. |       5165 |        0 |     1 |         1
 Available facilities stop free, american branches. British, religious decisions may stop                                                                                                          | Bad cards must make. |       5161 |        0 |     1 |         1
 Available yards should not guess justifiably international, brilliant eyes. National, short-term traditions write average, civil conditions. Angles pay possibilities. Assistant rooms h          |                      |       5142 |        0 |     1 |         1
 Aware, forthcoming students miss markedly healthy weekends; types should become oppo                                                                                                              | Conventional childr  |       5129 |        0 |     1 |         1
 Aware, forthcoming students miss markedly healthy weekends; types should become oppo                                                                                                              | Doors canno          |       5129 |        0 |     1 |         1
 Aware, forthcoming students miss markedly healthy weekends; types should become oppo                                                                                                              | Important issues liv |       5157 |        0 |     1 |         1
 Aware, labour parts remain disputes. Possible, abl                                                                                                                                                | Conventional childr  |       5161 |        0 |     1 |         1
 Aware, labour parts remain disputes. Possible, abl                                                                                                                                                | Important issues liv |       5161 |        0 |     1 |         1
 Beaches could make. Clearly implicit experiments move clearly double forests; financial, fond suggestions impart here areas. Flowers might go actually liable cas                                 | Important issues liv |       5143 |        0 |     1 |         1
 Below urban facilities look                                                                                                                                                                       |                      |       5159 |        0 |     1 |         1
 Best dep                                                                                                                                                                                          | Doors canno          |       5155 |        0 |     1 |         1
 Better financial c                                                                                                                                                                                | Important issues liv |       5160 |        0 |     1 |         1
 Big, huge goals add usually here commercial things; keen, pregnant years might imagine somewhere rules. Highly respo                                                                              | Bad cards must make. |       5147 |        0 |     1 |         1
 Big, huge goals add usually here commercial things; keen, pregnant years might imagine somewhere rules. Highly respo                                                                              | Conventional childr  |       5145 |        0 |     1 |         1
 Big, huge goals add usually here commercial things; keen, pregnant years might imagine somewhere rules. Highly respo                                                                              |                      |       5147 |        0 |     1 |         1
 Big, worried words will not spend both in a boats. Finan                                                                                                                                          | Bad cards must make. |       5158 |        0 |     1 |         1
 Big, worried words will not spend both in a boats. Finan                                                                                                                                          | Conventional childr  |       5158 |        0 |     1 |         1
 Big, worried words will not spend both in a boats. Finan                                                                                                                                          | Doors canno          |       5160 |        0 |     1 |         1
 Bits would improve lengthy problems. Members kiss a little. Popular authorities might try dangerous, precise points; respectable companies return at least. Domestic, sup                         | Conventional childr  |       5154 |        0 |     1 |         1
 Bits would improve lengthy problems. Members kiss a little. Popular authorities might try dangerous, precise points; respectable companies return at least. Domestic, sup                         | Important issues liv |       5154 |        0 |     1 |         1
 Blind, subsequent teeth will leave less. Open, separate parties would not deliver from a bars. Dark, available women should eat too. Useful weeks like on                                         |                      |       5146 |        0 |     1 |         1
 Bloody directors reach highly only heavy women. Ministers shall not avoid afte                                                                                                                    |                      |       5153 |        0 |     1 |         1
 Blue skills conform so years. New affairs could get quick, previous questions. Constant, new companies will not supply purely. Tryi                                                               | Doors canno          |       5158 |        0 |     1 |         1
 Boats confer never national, isolated posts. Modern res                                                                                                                                           | Important issues liv |       5160 |        0 |     1 |         1
 Boots recommend usually just local centres; c                                                                                                                                                     | Doors canno          |       5162 |        0 |     1 |         1
 Boots recommend usually just local centres; c                                                                                                                                                     | Important issues liv |       5162 |        0 |     1 |         1
 British items land stil                                                                                                                                                                           | Important issues liv |       5163 |        0 |     1 |         1
 British motives understand much heavy approaches. Officers keep. Significant systems operate characteristics.                                                                                     | Bad cards must make. |       5163 |        0 |     1 |         1
 British motives understand much heavy approaches. Officers keep. Significant systems operate characteristics.                                                                                     | Doors canno          |       5163 |        0 |     1 |         1
 British papers believe incidents. Long, alive traditions might review earlier years. Working, statis                                                                                              | Doors canno          |       5162 |        0 |     1 |         1
(100 rows)

