                                                                                               i_item_desc                                                                                               |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
 Asleep rights continue over papers. Yesterday poor combinations ought to like votes. Hardly similar manufacturers used to see groups. Rel                                                               | Conventional childr  |       5162 |        0 |     1 |         1
 Aware, forthcoming students miss markedly healthy weekends; types should become oppo                                                                                                                    | Conventional childr  |       5129 |        0 |     1 |         1
 Aware, forthcoming students miss markedly healthy weekends; types should become oppo                                                                                                                    | Doors canno          |       5129 |        0 |     1 |         1
 Aware, forthcoming students miss markedly healthy weekends; types should become oppo                                                                                                                    | Important issues liv |       5157 |        0 |     1 |         1
 Better financial c                                                                                                                                                                                      | Important issues liv |       5160 |        0 |     1 |         1
 Bloody directors reach highly only heavy women. Ministers shall not avoid afte                                                                                                                          |                      |       5153 |        0 |     1 |         1
 Boats confer never national, isolated posts. Modern res                                                                                                                                                 | Important issues liv |       5160 |        0 |     1 |         1
 British items land stil                                                                                                                                                                                 | Important issues liv |       5163 |        0 |     1 |         1
 British papers believe incidents. Long, alive traditions might review earlier years. Working, statis                                                                                                    | Doors canno          |       5162 |        0 |     1 |         1
 British papers believe incidents. Long, alive traditions might review earlier years. Working, statis                                                                                                    |                      |       5162 |        0 |     1 |         1
 Categories shall                                                                                                                                                                                        | Doors canno          |       5162 |        0 |     1 |         1
 Chemical, other times dismiss for the events. Middle, attractive opportunities lead virtually away american years. Full services involve left reasons. Now white times could not seem despite a meeting | Doors canno          |       5138 |        0 |     1 |         1
 Chinese authorities should know painfully                                                                                                                                                               | Doors canno          |       5155 |        0 |     1 |         1
 Civil, beautiful                                                                                                                                                                                        | Conventional childr  |       5149 |        0 |     1 |         1
 Civil, beautiful                                                                                                                                                                                        | Important issues liv |       5130 |        0 |     1 |         1
 Civil, beautiful                                                                                                                                                                                        |                      |       5130 |        0 |     1 |         1
 Clear, sensitive customers must last from a cells. Slow potential children attend doctors. Ltd. eyebrows like white cases.                                                                              |                      |       5155 |        0 |     1 |         1
 Common men would create perhaps dates. Unfortunately intermediate women di                                                                                                                              |                      |       5158 |        0 |     1 |         1
 Conventional areas might create vaguely somewhere                                                                                                                                                       |                      |       5163 |        0 |     1 |         1
 Darling children might direct together similar effects. Able, certain fat                                                                                                                               | Conventional childr  |       5128 |        0 |     1 |         1
 Democrats will make more. Aware, other                                                                                                                                                                  | Bad cards must make. |       5158 |        0 |     1 |         1
 Democrats will make more. Aware, other                                                                                                                                                                  | Conventional childr  |       5160 |        0 |     1 |         1
 Democrats will make more. Aware, other                                                                                                                                                                  | Important issues liv |       5158 |        0 |     1 |         1
 Domestic doors s                                                                                                                                                                                        |                      |       5151 |        0 |     1 |         1
 Dominant, christian pp. may not raise                                                                                                                                                                   |                      |       5155 |        0 |     1 |         1
 Easy, new days lock highly historians; families can go military powers. Perhaps alone places used to try orthodox enemies. Political, silent                                                            |                      |       5162 |        0 |     1 |         1
 Efficiently running hopes prevent both general, significant con                                                                                                                                         | Conventional childr  |       5164 |        0 |     1 |         1
 Electrical drivers will save only social seconds. Large, other tests test cold, other instruments. Simple, similar tests read cases. Enthusiastic, happy cases should not keep almost indian, t         | Conventional childr  |       5141 |        0 |     1 |         1
 Electrical drivers will save only social seconds. Large, other tests test cold, other instruments. Simple, similar tests read cases. Enthusiastic, happy cases should not keep almost indian, t         |                      |       5160 |        0 |     1 |         1
 European, huma                                                                                                                                                                                          | Bad cards must make. |       5161 |        0 |     1 |         1
 Even young stores extend largely. Wro                                                                                                                                                                   |                      |       5165 |        0 |     1 |         1
 Extensively lovely times should keep against                                                                                                                                                            | Doors canno          |       5149 |        0 |     1 |         1
 Extra, annual kinds produce other lights. Successful pp. should not tell home in a husbands. Centres ho                                                                                                 | Doors canno          |       5122 |        0 |     1 |         1
 Eyes o                                                                                                                                                                                                  |                      |       5161 |        0 |     1 |         1
 Fa                                                                                                                                                                                                      | Conventional childr  |       5150 |        0 |     1 |         1
 Far, senior holidays boost however real troubles. Comprehensive women ask both anxious police; economic, financial products must land highly tiny times. Major, old years accept                        | Doors canno          |       5130 |        0 |     1 |         1
 Favorite, sure others must receive. Well sexual recommendations stay in the industries. Women will disturb in public again continuing flats;                                                            |                      |       5162 |        0 |     1 |         1
 Finally faint schools cannot reflect about from the lines. Particularly overseas tests encoura                                                                                                          | Bad cards must make. |       5132 |        0 |     1 |         1
 Finally faint schools cannot reflect about from the lines. Particularly overseas tests encoura                                                                                                          |                      |       5132 |        0 |     1 |         1
 Fr                                                                                                                                                                                                      |                      |       5163 |        0 |     1 |         1
 Frequently en                                                                                                                                                                                           |                      |       5154 |        0 |     1 |         1
 Future leaders shall take too top, clear steps. Types vote national societies. Tonight red authors save usually on a quantities. B                                                                      | Important issues liv |       5135 |        0 |     1 |         1
 Gains find hard original p                                                                                                                                                                              | Bad cards must make. |       5132 |        0 |     1 |         1
 Good                                                                                                                                                                                                    | Important issues liv |       5155 |        0 |     1 |         1
 Gratefully male kids see at first odd principles. New, brown processes buy just areas. Conditions find much with a                                                                                      | Doors canno          |       5153 |        0 |     1 |         1
 Hands respond quickly heavy armies. Firms must reduce into a numbers; personal, british figures transfer entirely logi                                                                                  | Doors canno          |       5136 |        0 |     1 |         1
 Hence acute ages react rapidly initial, fixed companies. Northern, true faces may jeopardise quite small hills. Heroes might stick yet certainly appropriate buildings. Public, natural privileges wou  |                      |       5139 |        0 |     1 |         1
 High c                                                                                                                                                                                                  | Doors canno          |       5116 |        0 |     1 |         1
 Ho                                                                                                                                                                                                      | Bad cards must make. |       5154 |        0 |     1 |         1
 Ho                                                                                                                                                                                                      | Doors canno          |       5154 |        0 |     1 |         1
 Illegal, clear documents must pay in a brothers. Long characters make. Meetings should assure pages. Women remain as in a dreams. Police might expect thus at a women. Just sharp                       | Bad cards must make. |       5160 |        0 |     1 |         1
 Illegal, clear documents must pay in a brothers. Long characters make. Meetings should assure pages. Women remain as in a dreams. Police might expect thus at a women. Just sharp                       | Conventional childr  |       5160 |        0 |     1 |         1
 Important relationships want. Questions might not make papers. Panels end.                                                                                                                              |                      |       5165 |        0 |     1 |         1
 Individual, other things used to occur still. Conscious, popular songs begin provincial, free hours. Unhappy, brief sections use wit                                                                    | Doors canno          |       5163 |        0 |     1 |         1
 Inland, royal areas make far by a officers. Helpful p                                                                                                                                                   | Bad cards must make. |       5149 |        0 |     1 |         1
 Inland, royal areas make far by a officers. Helpful p                                                                                                                                                   | Important issues liv |       5149 |        0 |     1 |         1
 International, alone days get more exceedingly clear homes. There other officers might not make for a problems. Ultimate, wealthy pages cure steadily. Arms could stand old, territorial functions. Ri  | Doors canno          |       5150 |        0 |     1 |         1
 Irish elections may wear even. Offi                                                                                                                                                                     | Bad cards must make. |       5125 |        0 |     1 |         1
 Just pure hundreds used to shoot other, joint findings. Small, extra children would not raise private, inevitable women. Hardly                                                                         | Doors canno          |       5153 |        0 |     1 |         1
 Le                                                                                                                                                                                                      | Doors canno          |       5129 |        0 |     1 |         1
 Less right powers come fast on a writers. Particularly different numbers cannot tackle personal, top studies. Women can want early inherent, british streets. Soon young card                           | Important issues liv |       5149 |        0 |     1 |         1
 Likely, representative hours will get up to public parents. Just political statements start. Just central children would find as for a studies. Regular, free cats att                                  |                      |       5143 |        0 |     1 |         1
 Lines should like explicitly religious instruments. Fun buildings treat always officia                                                                                                                  | Doors canno          |       5123 |        0 |     1 |         1
 Local numbers may reap that in a shows. Useful, democratic methods effect under; resources catch. Wearily other roads ought to benef                                                                    | Doors canno          |       5165 |        0 |     1 |         1
 Long minutes may lead only mostly private buildings. O                                                                                                                                                  | Important issues liv |       5136 |        0 |     1 |         1
 Machines predict. Severe engineers must resist just; dead sales should see only different characters. Military, colonial grounds say in order close companies. Small governments may assume seri        | Important issues liv |       5146 |        0 |     1 |         1
 Mad, positive circumstances find keen teams. Years account to a efforts. Upper maps would govern additio                                                                                                |                      |       5163 |        0 |     1 |         1
 Mental, vast persons must not cancel wrong photographs; close difficulties redeem letters. Symbols may ensure demands                                                                                   | Conventional childr  |       5154 |        0 |     1 |         1
 Mental, vast persons must not cancel wrong photographs; close difficulties redeem letters. Symbols may ensure demands                                                                                   | Important issues liv |       5154 |        0 |     1 |         1
 National, responsible words ask then damp, central items. Popular, environmental women see organs. Int                                                                                                  | Bad cards must make. |       5124 |        0 |     1 |         1
 National, unemployed kids get already clean, single topics. Also foreign protests must make english issues. Manufac                                                                                     | Doors canno          |       5132 |        0 |     1 |         1
 Neatly hard theories turn by the females. Only fresh facilities should feed nicely. Simi                                                                                                                | Bad cards must make. |       5159 |        0 |     1 |         1
 Never chronic yards must see home political, cautious practices. Stages see offen                                                                                                                       | Conventional childr  |       5160 |        0 |     1 |         1
 Notes take representative, premier assessments. Related, federal homes                                                                                                                                  | Doors canno          |       5163 |        0 |     1 |         1
 Occasions shall seem. Please total clothes make to a rates. New ways would take at once dramatic, continental actors. Old players comply better companie                                                | Doors canno          |       5152 |        0 |     1 |         1
 Offenders might grant; others could not make too alone mental women. More different pupils know never o                                                                                                 | Conventional childr  |       5118 |        0 |     1 |         1
 Old streets would persuade also types. Still elderly reasons provide clean at a women. Cultural                                                                                                         | Conventional childr  |       5166 |        0 |     1 |         1
 Open enquiries could want. Examples investigate. Future policies will match once tory cigarettes. Hard examples should heal schools. Later top guests cannot scre                                       | Conventional childr  |       5163 |        0 |     1 |         1
 Orders support prisoners. Indeed annual participants know over a libraries. Concerned interests write sol                                                                                               | Important issues liv |       5160 |        0 |     1 |         1
 Ordinary systems remain certainly elsewhere ge                                                                                                                                                          | Conventional childr  |       5117 |        0 |     1 |         1
 Other, good posts could lure. Beautiful, dead names leave so ago parental others. Curious democrats refer now; good yards sign. Accordingly mere mistakes identify perhaps. Limitations admit all       | Doors canno          |       5117 |        0 |     1 |         1
 Outside periods end never just certain steps; alr                                                                                                                                                       | Bad cards must make. |       5162 |        0 |     1 |         1
 Outside periods end never just certain steps; alr                                                                                                                                                       | Important issues liv |       5162 |        0 |     1 |         1
 Outstanding, small friends face here possibly temporary events; joint clothes                                                                                                                           | Doors canno          |       5117 |        0 |     1 |         1
 Pale children used to explain then traditional years. Quietly similar suggestions give. Evil others result j                                                                                            | Important issues liv |       5124 |        0 |     1 |         1
(100 rows)

